0.000000 crop w 405, crop h 720, crop x 437, crop y 0;
0.040000 crop w 405, crop h 720, crop x 437, crop y 0;
0.080000 crop w 405, crop h 720, crop x 437, crop y 0;
0.120000 crop w 405, crop h 720, crop x 437, crop y 0;
0.160000 crop w 405, crop h 720, crop x 437, crop y 0;
0.200000 crop w 405, crop h 720, crop x 437, crop y 0;
0.240000 crop w 405, crop h 720, crop x 437, crop y 0;
0.280000 crop w 405, crop h 720, crop x 437, crop y 0;
0.320000 crop w 405, crop h 720, crop x 437, crop y 0;
0.360000 crop w 405, crop h 720, crop x 437, crop y 0;
0.400000 crop w 405, crop h 720, crop x 437, crop y 0;
0.440000 crop w 405, crop h 720, crop x 437, crop y 0;
0.480000 crop w 405, crop h 720, crop x 437, crop y 0;
0.520000 crop w 405, crop h 720, crop x 437, crop y 0;
0.560000 crop w 405, crop h 720, crop x 437, crop y 0;
0.600000 crop w 405, crop h 720, crop x 437, crop y 0;
0.640000 crop w 405, crop h 720, crop x 437, crop y 0;
0.680000 crop w 405, crop h 720, crop x 437, crop y 0;
0.720000 crop w 405, crop h 720, crop x 437, crop y 0;
0.760000 crop w 405, crop h 720, crop x 437, crop y 0;
0.800000 crop w 405, crop h 720, crop x 437, crop y 0;
0.840000 crop w 405, crop h 720, crop x 437, crop y 0;
0.880000 crop w 405, crop h 720, crop x 437, crop y 0;
0.920000 crop w 405, crop h 720, crop x 437, crop y 0;
0.960000 crop w 405, crop h 720, crop x 437, crop y 0;
1.000000 crop w 405, crop h 720, crop x 437, crop y 0;
1.040000 crop w 405, crop h 720, crop x 437, crop y 0;
1.080000 crop w 405, crop h 720, crop x 437, crop y 0;
1.120000 crop w 405, crop h 720, crop x 437, crop y 0;
1.160000 crop w 405, crop h 720, crop x 437, crop y 0;
1.200000 crop w 405, crop h 720, crop x 437, crop y 0;
1.240000 crop w 405, crop h 720, crop x 437, crop y 0;
1.280000 crop w 405, crop h 720, crop x 437, crop y 0;
1.320000 crop w 405, crop h 720, crop x 437, crop y 0;
1.360000 crop w 405, crop h 720, crop x 437, crop y 0;
1.400000 crop w 405, crop h 720, crop x 437, crop y 0;
1.440000 crop w 405, crop h 720, crop x 437, crop y 0;
1.480000 crop w 405, crop h 720, crop x 437, crop y 0;
1.520000 crop w 405, crop h 720, crop x 437, crop y 0;
1.560000 crop w 405, crop h 720, crop x 437, crop y 0;
1.600000 crop w 405, crop h 720, crop x 437, crop y 0;
1.640000 crop w 405, crop h 720, crop x 437, crop y 0;
1.680000 crop w 405, crop h 720, crop x 437, crop y 0;
1.720000 crop w 405, crop h 720, crop x 437, crop y 0;
1.760000 crop w 405, crop h 720, crop x 437, crop y 0;
1.800000 crop w 405, crop h 720, crop x 437, crop y 0;
1.840000 crop w 405, crop h 720, crop x 437, crop y 0;
1.880000 crop w 405, crop h 720, crop x 437, crop y 0;
1.920000 crop w 405, crop h 720, crop x 437, crop y 0;
1.960000 crop w 405, crop h 720, crop x 437, crop y 0;
2.000000 crop w 405, crop h 720, crop x 437, crop y 0;
2.040000 crop w 405, crop h 720, crop x 437, crop y 0;
2.080000 crop w 405, crop h 720, crop x 437, crop y 0;
2.120000 crop w 405, crop h 720, crop x 437, crop y 0;
2.160000 crop w 405, crop h 720, crop x 437, crop y 0;
2.200000 crop w 405, crop h 720, crop x 437, crop y 0;
2.240000 crop w 405, crop h 720, crop x 437, crop y 0;
2.280000 crop w 405, crop h 720, crop x 437, crop y 0;
2.320000 crop w 405, crop h 720, crop x 437, crop y 0;
2.360000 crop w 405, crop h 720, crop x 437, crop y 0;
2.400000 crop w 405, crop h 720, crop x 437, crop y 0;
2.440000 crop w 405, crop h 720, crop x 437, crop y 0;
2.480000 crop w 405, crop h 720, crop x 437, crop y 0;
2.520000 crop w 405, crop h 720, crop x 437, crop y 0;
2.560000 crop w 405, crop h 720, crop x 437, crop y 0;
2.600000 crop w 405, crop h 720, crop x 437, crop y 0;
2.640000 crop w 405, crop h 720, crop x 437, crop y 0;
2.680000 crop w 405, crop h 720, crop x 437, crop y 0;
2.720000 crop w 405, crop h 720, crop x 437, crop y 0;
2.760000 crop w 405, crop h 720, crop x 437, crop y 0;
2.800000 crop w 405, crop h 720, crop x 437, crop y 0;
2.840000 crop w 405, crop h 720, crop x 437, crop y 0;
2.880000 crop w 405, crop h 720, crop x 437, crop y 0;
2.920000 crop w 405, crop h 720, crop x 437, crop y 0;
2.960000 crop w 405, crop h 720, crop x 437, crop y 0;
