0.000000 crop w 405, crop h 720, crop x 789, crop y 0;
0.040000 crop w 405, crop h 720, crop x 789, crop y 0;
0.080000 crop w 405, crop h 720, crop x 789, crop y 0;
0.120000 crop w 405, crop h 720, crop x 789, crop y 0;
0.160000 crop w 405, crop h 720, crop x 789, crop y 0;
0.200000 crop w 405, crop h 720, crop x 789, crop y 0;
0.240000 crop w 405, crop h 720, crop x 789, crop y 0;
0.280000 crop w 405, crop h 720, crop x 789, crop y 0;
0.320000 crop w 405, crop h 720, crop x 789, crop y 0;
0.360000 crop w 405, crop h 720, crop x 789, crop y 0;
0.400000 crop w 405, crop h 720, crop x 789, crop y 0;
0.440000 crop w 405, crop h 720, crop x 788, crop y 0;
0.480000 crop w 405, crop h 720, crop x 787, crop y 0;
0.520000 crop w 405, crop h 720, crop x 783, crop y 0;
0.560000 crop w 405, crop h 720, crop x 778, crop y 0;
0.600000 crop w 405, crop h 720, crop x 768, crop y 0;
0.640000 crop w 405, crop h 720, crop x 756, crop y 0;
0.680000 crop w 405, crop h 720, crop x 740, crop y 0;
0.720000 crop w 405, crop h 720, crop x 722, crop y 0;
0.760000 crop w 405, crop h 720, crop x 700, crop y 0;
0.800000 crop w 405, crop h 720, crop x 676, crop y 0;
0.840000 crop w 405, crop h 720, crop x 651, crop y 0;
0.880000 crop w 405, crop h 720, crop x 625, crop y 0;
0.920000 crop w 405, crop h 720, crop x 599, crop y 0;
0.960000 crop w 405, crop h 720, crop x 576, crop y 0;
1.000000 crop w 405, crop h 720, crop x 549, crop y 0;
1.040000 crop w 405, crop h 720, crop x 528, crop y 0;
1.080000 crop w 405, crop h 720, crop x 511, crop y 0;
1.120000 crop w 405, crop h 720, crop x 494, crop y 0;
1.160000 crop w 405, crop h 720, crop x 479, crop y 0;
1.200000 crop w 405, crop h 720, crop x 465, crop y 0;
1.240000 crop w 405, crop h 720, crop x 451, crop y 0;
1.280000 crop w 405, crop h 720, crop x 438, crop y 0;
1.320000 crop w 405, crop h 720, crop x 426, crop y 0;
1.360000 crop w 405, crop h 720, crop x 415, crop y 0;
1.400000 crop w 405, crop h 720, crop x 405, crop y 0;
1.440000 crop w 405, crop h 720, crop x 405, crop y 0;
1.480000 crop w 405, crop h 720, crop x 405, crop y 0;
1.520000 crop w 405, crop h 720, crop x 405, crop y 0;
1.560000 crop w 405, crop h 720, crop x 404, crop y 0;
1.600000 crop w 405, crop h 720, crop x 404, crop y 0;
1.640000 crop w 405, crop h 720, crop x 404, crop y 0;
1.680000 crop w 405, crop h 720, crop x 404, crop y 0;
1.720000 crop w 405, crop h 720, crop x 404, crop y 0;
1.760000 crop w 405, crop h 720, crop x 404, crop y 0;
1.800000 crop w 405, crop h 720, crop x 404, crop y 0;
1.840000 crop w 405, crop h 720, crop x 405, crop y 0;
1.880000 crop w 405, crop h 720, crop x 406, crop y 0;
1.920000 crop w 405, crop h 720, crop x 409, crop y 0;
1.960000 crop w 405, crop h 720, crop x 412, crop y 0;
2.000000 crop w 405, crop h 720, crop x 417, crop y 0;
