0.000000 crop w 405, crop h 720, crop x 34, crop y 0;
0.040000 crop w 405, crop h 720, crop x 34, crop y 0;
0.080000 crop w 405, crop h 720, crop x 34, crop y 0;
0.120000 crop w 405, crop h 720, crop x 34, crop y 0;
0.160000 crop w 405, crop h 720, crop x 35, crop y 0;
0.200000 crop w 405, crop h 720, crop x 35, crop y 0;
0.240000 crop w 405, crop h 720, crop x 35, crop y 0;
0.280000 crop w 405, crop h 720, crop x 35, crop y 0;
0.320000 crop w 405, crop h 720, crop x 35, crop y 0;
0.360000 crop w 405, crop h 720, crop x 35, crop y 0;
0.400000 crop w 405, crop h 720, crop x 35, crop y 0;
0.440000 crop w 405, crop h 720, crop x 35, crop y 0;
0.480000 crop w 405, crop h 720, crop x 36, crop y 0;
0.520000 crop w 405, crop h 720, crop x 36, crop y 0;
0.560000 crop w 405, crop h 720, crop x 36, crop y 0;
0.600000 crop w 405, crop h 720, crop x 36, crop y 0;
0.640000 crop w 405, crop h 720, crop x 36, crop y 0;
0.680000 crop w 405, crop h 720, crop x 36, crop y 0;
0.720000 crop w 405, crop h 720, crop x 36, crop y 0;
0.760000 crop w 405, crop h 720, crop x 36, crop y 0;
0.800000 crop w 405, crop h 720, crop x 36, crop y 0;
0.840000 crop w 405, crop h 720, crop x 36, crop y 0;
0.880000 crop w 405, crop h 720, crop x 36, crop y 0;
0.920000 crop w 405, crop h 720, crop x 36, crop y 0;
0.960000 crop w 405, crop h 720, crop x 36, crop y 0;
1.000000 crop w 405, crop h 720, crop x 34, crop y 0;
1.040000 crop w 405, crop h 720, crop x 32, crop y 0;
1.080000 crop w 405, crop h 720, crop x 31, crop y 0;
1.120000 crop w 405, crop h 720, crop x 30, crop y 0;
1.160000 crop w 405, crop h 720, crop x 29, crop y 0;
1.200000 crop w 405, crop h 720, crop x 28, crop y 0;
1.240000 crop w 405, crop h 720, crop x 27, crop y 0;
1.280000 crop w 405, crop h 720, crop x 26, crop y 0;
1.320000 crop w 405, crop h 720, crop x 25, crop y 0;
1.360000 crop w 405, crop h 720, crop x 23, crop y 0;
1.400000 crop w 405, crop h 720, crop x 22, crop y 0;
1.440000 crop w 405, crop h 720, crop x 21, crop y 0;
1.480000 crop w 405, crop h 720, crop x 19, crop y 0;
1.520000 crop w 405, crop h 720, crop x 23, crop y 0;
1.560000 crop w 405, crop h 720, crop x 30, crop y 0;
1.600000 crop w 405, crop h 720, crop x 41, crop y 0;
1.640000 crop w 405, crop h 720, crop x 54, crop y 0;
1.680000 crop w 405, crop h 720, crop x 69, crop y 0;
1.720000 crop w 405, crop h 720, crop x 84, crop y 0;
1.760000 crop w 405, crop h 720, crop x 99, crop y 0;
1.800000 crop w 405, crop h 720, crop x 114, crop y 0;
1.840000 crop w 405, crop h 720, crop x 129, crop y 0;
1.880000 crop w 405, crop h 720, crop x 144, crop y 0;
1.920000 crop w 405, crop h 720, crop x 159, crop y 0;
1.960000 crop w 405, crop h 720, crop x 174, crop y 0;
2.000000 crop w 405, crop h 720, crop x 189, crop y 0;
2.040000 crop w 405, crop h 720, crop x 204, crop y 0;
2.080000 crop w 405, crop h 720, crop x 219, crop y 0;
2.120000 crop w 405, crop h 720, crop x 234, crop y 0;
2.160000 crop w 405, crop h 720, crop x 249, crop y 0;
2.200000 crop w 405, crop h 720, crop x 264, crop y 0;
2.240000 crop w 405, crop h 720, crop x 279, crop y 0;
2.280000 crop w 405, crop h 720, crop x 294, crop y 0;
2.320000 crop w 405, crop h 720, crop x 309, crop y 0;
2.360000 crop w 405, crop h 720, crop x 324, crop y 0;
2.400000 crop w 405, crop h 720, crop x 339, crop y 0;
2.440000 crop w 405, crop h 720, crop x 354, crop y 0;
2.480000 crop w 405, crop h 720, crop x 369, crop y 0;
2.520000 crop w 405, crop h 720, crop x 384, crop y 0;
2.560000 crop w 405, crop h 720, crop x 398, crop y 0;
2.600000 crop w 405, crop h 720, crop x 409, crop y 0;
2.640000 crop w 405, crop h 720, crop x 417, crop y 0;
2.680000 crop w 405, crop h 720, crop x 424, crop y 0;
2.720000 crop w 405, crop h 720, crop x 429, crop y 0;
2.760000 crop w 405, crop h 720, crop x 434, crop y 0;
2.800000 crop w 405, crop h 720, crop x 437, crop y 0;
2.840000 crop w 405, crop h 720, crop x 440, crop y 0;
